ticker,company_name,link,market_cap_B,change,volume,revenue_B,pe_ratio,forward_pe,pb_ratio,peg_ratio,earnings_yield,roe,roa,operating_margin,profit_margin,eps,beta,price_change_52w,rsi,short_percent_float,short_ratio,cash_B,total_debt_B,equity_B,book_value_per_share,dividend_yield,dividend_growth,payout_ratio,buyback_yield,shareholder_yield,price_target_difference,analyst_consensus,analyst_count,revenue_growth_forecast_3y,eps_growth_forecast_3y
MUFG,"Mitsubishi UFJ Financial Group, Inc.",https://stockanalysis.com/stocks/mufg/,260.73,-0.0017,2678100,44.67,20.1,14.17,1.66,,0.049699999999999994,0.0946,0.0051,0.4771,0.27449999999999997,1.08,0.32,0.4289,56.32,,1.5,880.39,666.77,148.77,12.41,0.0195,0.2634,0.4114,0.0217,0.0412,-0.0235,Hold,2,0.366,
C,Citigroup Inc.,https://stockanalysis.com/stocks/c/,233.72,0.0043,6829934,81.71,14.96,11.79,1.2,0.48,0.0713,0.08529999999999999,0.0066,0.311,0.2183,9.2,1.1,0.45039999999999997,52.01,0.0003,0.03,1100.0,881.62,214.45,114.74,0.0196,0.0833,0.2914,0.0642,0.0836,0.1346,Buy,21,0.0658,0.2426
AXP,American Express Company,https://stockanalysis.com/stocks/axp/,231.28,-0.0034,1529661,70.91,20.55,18.24,6.67,1.43,0.0493,0.34380000000000005,0.0379,0.2026,0.16140000000000002,16.47,1.05,0.1079,48.91,0.0233,3.84,45.75,59.09,34.28,50.79,0.011200000000000002,0.16449999999999998,0.21489999999999998,0.024900000000000002,0.0361,0.1058,Buy,30,0.1199,0.142
SAN,"Banco Santander, S.A.",https://stockanalysis.com/stocks/san/,212.0,-0.0014,17276588,55.45,11.48,10.69,1.55,,0.08710000000000001,0.1311,0.0078000000000000005,0.4233,0.3346,1.22,0.93,0.4772,50.83,0.0064,9.36,360.27,462.5,132.41,8.72,0.0141,0.1898,0.1643,0.0349,0.0489,-0.0478,Hold,3,0.0482,0.1672
TD,The Toronto-Dominion Bank,https://stockanalysis.com/stocks/td/,205.49,0.0102,1389110,43.48,19.61,16.87,2.21,,0.052199999999999996,0.1191,0.0072,0.3393,0.2519,6.22,0.87,0.648,52.93,0.0062,3.4,468.08,384.0,91.33,53.88,0.0254,0.0392,0.4982,0.0315,0.056900000000000006,-0.061200000000000004,Buy,13,0.0658,0.12179999999999999
SCHW,The Charles Schwab Corporation,https://stockanalysis.com/stocks/schw/,192.11,0.0123,5986032,26.03,20.34,15.45,4.39,0.76,0.050300000000000004,0.2027,0.0207,0.502,0.38789999999999997,5.49,0.75,0.1595,74.06,0.0,0.01,96.36,75.78,50.15,25.42,0.0115,0.1604,0.22399999999999998,0.0336,0.0451,0.12029999999999999,Buy,22,0.1272,0.2218
BLK,"BlackRock, Inc.",https://stockanalysis.com/stocks/blk/,190.7,-0.0077,515058,27.3,27.59,19.3,3.11,1.18,0.0351,0.12279999999999999,0.0374,0.353,0.2409,41.83,1.42,0.0225,63.28,0.0151,2.73,13.84,14.97,64.54,371.7,0.0197,0.0806,0.5478999999999999,-0.06559999999999999,-0.0458,0.1308,Buy,17,0.147,0.1578
BX,Blackstone Inc.,https://stockanalysis.com/stocks/bx/,179.02,-0.0361,3805067,15.48,32.18,22.4,12.48,1.42,0.020099999999999996,0.31370000000000003,0.1433,0.48479999999999995,0.2273,4.47,1.55,-0.1505,61.59,0.0354,5.38,2.66,15.3,22.43,11.27,0.033,0.22769999999999999,1.1708,-0.0195,0.014199999999999999,-0.0113,Buy,23,0.1354,0.1418
SMFG,"Sumitomo Mitsui Financial Group, Inc.",https://stockanalysis.com/stocks/smfg/,165.96,0.0008,951275,29.01,20.08,13.87,1.56,,0.049800000000000004,0.0857,0.0042,0.34909999999999997,0.2782,1.29,0.39,0.4826,46.58,,4.7,703.36,363.94,99.92,26.08,0.0187,0.20629999999999998,0.3851,0.0158,0.0341,,,,0.0782,
UBS,UBS Group AG,https://stockanalysis.com/stocks/ubs/,164.29,-0.0019,844373,53.04,17.05,13.1,1.81,,0.0587,0.1067,0.005699999999999999,0.3114,0.1795,2.93,0.83,0.32689999999999997,51.98,0.002,3.2,575.37,599.21,89.43,29.12,0.0104,-0.2593,0.18739999999999998,0.0271,0.0375,0.0288,Buy,3,0.06280000000000001,0.1906
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",https://stockanalysis.com/stocks/bbva/,159.78,0.0017,1896780,39.0,13.0,11.49,2.18,,0.07690000000000001,0.1892,0.013500000000000002,0.5390999999999999,0.3256,2.16,0.89,0.4964,70.52,,1.06,209.73,227.28,72.88,11.66,0.0302,0.38439999999999996,0.4017,0.0155,0.045599999999999995,-0.1499,Sell,3,0.0832,0.1255
COF,Capital One Financial Corporation,https://stockanalysis.com/stocks/cof/,139.47,0.0157,2972549,48.11,14.19,10.07,1.32,1.0,0.075,0.09029999999999999,0.0152,0.3125,0.2187,16.19,1.02,0.0298,61.47,0.0178,2.44,56.64,48.99,113.79,167.86,0.0144,0.3333,0.19760000000000003,-0.5231,-0.5085999999999999,0.1567,Buy,24,0.10289999999999999,0.12869999999999998
CB,Chubb Limited,https://stockanalysis.com/stocks/cb/,132.58,-0.0025,2433227,61.9,12.22,12.34,1.77,1.64,0.084,0.1482,0.0336,0.23559999999999998,0.1807,28.26,0.39,0.25920000000000004,47.78,0.012,2.07,7.97,25.01,80.85,195.45,0.0118,0.058499999999999996,0.1444,0.024900000000000002,0.0368,0.0643,Buy,25,-0.0382,0.08310000000000001
MFG,"Mizuho Financial Group, Inc.",https://stockanalysis.com/stocks/mfg/,131.62,-0.0109,1830359,29.16,15.28,13.83,1.82,,0.0654,0.1249,0.0048,0.3824,0.2914,0.7,0.38,0.5943,54.2,,2.8,734.87,463.24,71.29,29.1,0.013500000000000002,0.0194,0.2024,0.0222,0.035699999999999996,0.0155,Hold,2,0.115,
BMO,Bank of Montreal,https://stockanalysis.com/stocks/bmo/,130.16,0.009,481265,25.48,18.95,16.48,2.04,,0.0533,0.1137,0.0066,0.4065,0.28059999999999996,9.56,1.15,0.6091,56.66,0.0086,8.77,333.97,242.4,62.9,88.12,0.026699999999999998,0.0649,0.5062,0.023,0.0495,-0.0889,Hold,14,0.0509,0.13849999999999998
